rider_id,driver_id,city,pickup_area,dropoff_area,start_time,end_time,duration_min,distance_km,fare,rating,payment_method
R0003,D0069,Tamale,Lamashegu,Choggu,2025-10-21 05:40:00,2025-10-21 06:22:00,42,9.99,41.98,4.5,Mobile Money
R0251,D0181,Tamale,Nyohini,Lamashegu,2025-02-15 15:30:00,2025-02-15 16:11:00,41,15.37,35.85,3.3,Card
R0060,D0113,Takoradi,Anaji,Market Circle,2025-06-05 17:27:00,2025-06-05 17:38:00,11,2.39,15.73,4.2,Cash
R0183,D0135,Tamale,Lamashegu,Sagnarigu,2025-06-30 03:31:00,2025-06-30 04:08:00,37,17.99,35.73,4.9,Card
R0108,D0055,Kumasi,Adum,Asokwa,2025-05-09 02:41:00,2025-05-09 03:03:00,22,20.98,48.38,3.4,Cash
R0127,D0048,Accra,East Legon,Osu,2025-03-27 01:35:00,2025-03-27 02:01:00,26,5.4,21.39,4.0,Mobile Money
R0288,D0004,Tamale,Nyohini,Choggu,2025-01-04 12:27:00,2025-01-04 12:42:00,15,11.37,31.68,4.2,Cash
R0127,D0072,Kumasi,Ahodwo,Asokwa,2025-02-12 22:13:00,2025-02-12 22:46:00,33,4.35,17.07,3.7,Cash
R0061,D0183,Takoradi,Market Circle,Anaji,2025-01-29 04:26:00,2025-01-29 05:00:00,34,11.95,44.69,3.4,Card
R0197,D0154,Tamale,Sagnarigu,Lamashegu,2025-04-01 18:07:00,2025-04-01 18:21:00,14,13.34,43.82,3.1,Card
R0075,D0139,Tamale,Choggu,Sagnarigu,2025-09-21 13:05:00,2025-09-21 13:49:00,44,15.58,36.68,3.1,Cash
R0250,D0197,Takoradi,Sekondi,Effiakuma,2025-04-18 14:59:00,2025-04-18 15:04:00,5,23.77,89.56,4.6,Cash
R0245,D0096,Accra,Dansoman,Madina,2025-03-29 18:50:00,2025-03-29 19:09:00,19,8.31,24.09,4.4,Card
R0052,D0182,Takoradi,Market Circle,Effiakuma,2025-02-22 18:15:00,2025-02-22 18:28:00,13,11.56,28.16,4.0,Card
R0120,D0060,Accra,Airport,Tema,2025-01-13 16:52:00,2025-01-13 17:30:00,38,1.83,16.07,3.5,Card
R0090,D0079,Kumasi,Tafo,Ahodwo,2025-06-07 03:40:00,2025-06-07 04:02:00,22,16.9,43.89,4.0,Mobile Money
R0167,D0065,Accra,Tema,Osu,2025-07-12 21:05:00,2025-07-12 21:18:00,13,14.12,36.4,4.9,Mobile Money
R0166,D0196,Accra,Osu,Tema,2025-02-03 14:44:00,2025-02-03 14:53:00,9,19.6,76.23,4.8,Card
R0019,D0063,Kumasi,Bantama,Ahodwo,2025-04-29 04:04:00,2025-04-29 04:47:00,43,15.35,59.33,3.2,Card
R0145,D0085,Tamale,Nyohini,Sagnarigu,2025-09-15 07:19:00,2025-09-15 07:56:00,37,5.7,17.07,3.7,Mobile Money
R0210,D0118,Accra,Dansoman,Madina,2025-05-26 21:52:00,2025-05-26 22:12:00,20,10.33,31.1,4.7,Mobile Money
R0095,D0161,Kumasi,Bantama,Adum,2025-04-09 15:04:00,2025-04-09 15:40:00,36,9.56,27.71,4.1,Card
R0227,D0176,Tamale,Nyohini,Choggu,2025-10-09 23:47:00,2025-10-09 23:55:00,8,4.38,21.6,3.1,Card
R0244,D0077,Takoradi,Sekondi,Anaji,2025-10-04 21:41:00,2025-10-04 22:09:00,28,24.69,83.17,3.4,Card
R0211,D0196,Tamale,Sagnarigu,Nyohini,2025-03-19 11:56:00,2025-03-19 12:15:00,19,1.13,11.54,4.4,Cash
R0006,D0138,Takoradi,Effiakuma,Sekondi,2025-06-22 09:41:00,2025-06-22 09:57:00,16,18.5,64.29,3.1,Card
R0129,D0010,Takoradi,Effiakuma,Sekondi,2025-06-02 06:07:00,2025-06-02 06:36:00,29,9.6,24.62,4.7,Card
R0059,D0096,Takoradi,Sekondi,Effiakuma,2025-10-06 23:42:00,2025-10-07 00:17:00,35,15.96,42.5,3.1,Mobile Money
R0229,D0187,Kumasi,Ahodwo,Tafo,2025-03-13 06:57:00,2025-03-13 07:37:00,40,8.46,26.19,4.5,Card
R0208,D0007,Kumasi,Asokwa,Bantama,2025-07-27 02:34:00,2025-07-27 02:43:00,9,16.3,61.37,3.9,Cash
R0190,D0108,Tamale,Sagnarigu,Choggu,2025-05-12 18:40:00,2025-05-12 19:22:00,42,3.87,19.33,4.5,Card
R0154,D0186,Accra,Dansoman,Tema,2025-08-18 02:55:00,2025-08-18 03:14:00,19,14.47,54.02,4.0,Card
R0098,D0196,Accra,Airport,Dansoman,2025-10-11 13:41:00,2025-10-11 14:00:00,19,13.55,41.91,3.1,Card
R0272,D0124,Tamale,Lamashegu,Nyohini,2025-04-10 17:46:00,2025-04-10 17:59:00,13,3.59,13.61,4.3,Mobile Money
R0013,D0101,Takoradi,Effiakuma,Anaji,2025-09-19 11:36:00,2025-09-19 12:09:00,33,8.54,29.5,4.8,Cash
R0095,D0012,Tamale,Lamashegu,Sagnarigu,2025-06-22 00:11:00,2025-06-22 00:33:00,22,6.98,24.2,4.5,Cash
R0205,D0196,Kumasi,Ahodwo,Tafo,2025-09-07 22:57:00,2025-09-07 23:39:00,42,6.49,18.73,3.6,Cash
R0080,D0029,Tamale,Lamashegu,Nyohini,2025-04-25 11:55:00,2025-04-25 12:25:00,30,4.87,24.36,4.6,Card
R0052,D0045,Accra,Dansoman,Osu,2025-10-22 22:17:00,2025-10-22 22:58:00,41,16.2,62.54,4.6,Card
R0154,D0131,Tamale,Choggu,Lamashegu,2025-04-22 05:35:00,2025-04-22 05:45:00,10,5.48,26.0,4.1,Cash
R0058,D0034,Kumasi,Asokwa,Adum,2025-06-30 16:38:00,2025-06-30 17:01:00,23,20.38,75.09,3.6,Card
R0264,D0112,Accra,Tema,Osu,2025-03-18 02:27:00,2025-03-18 02:43:00,16,3.64,17.12,3.9,Card
R0127,D0184,Accra,Tema,Madina,2025-06-22 10:34:00,2025-06-22 11:08:00,34,20.63,76.46,3.0,Card
R0075,D0075,Takoradi,Market Circle,Anaji,2025-04-23 20:56:00,2025-04-23 21:04:00,8,13.26,38.96,3.4,Cash
R0221,D0189,Accra,Airport,Dansoman,2025-05-28 18:57:00,2025-05-28 19:25:00,28,3.88,18.44,4.9,Cash
R0273,D0172,Kumasi,Ahodwo,Asokwa,2025-06-26 09:28:00,2025-06-26 10:09:00,41,8.76,30.23,4.4,Card
